,close,close_predicted
2059,301.660004,301.71909656751023
2060,288.950012,296.6590985675102
2061,280.73999,284.7690845675102
2062,280.950012,284.5190845675102
2063,263.23999,259.81910256751024
2064,285.5,272.97910656751026
2065,279.440002,279.18909756751026
2066,290.540009,281.1590985675102
2067,289.459991,287.73908556751024
2068,295.200012,288.47910656751026
2069,294.839996,289.75910556751023
2070,284.959991,296.4090985675102
2071,299.019989,280.22910656751026
2072,298.329987,303.27909456751024
2073,299.100006,297.41910856751025
2074,299.679993,298.1991075675102
2075,300.98999,299.71909656751023
2076,309.579987,301.62910056751025
2077,307.519989,312.6190905675102
2078,264.769989,269.97910656751026
2079,310.700012,305.48908556751024
2080,301.019989,313.66910856751025
2081,294.799988,303.04908356751025
2082,281.829987,293.66910856751025
2083,261.950012,274.3690905675102
2084,250.559998,264.23908556751024
2085,262.799988,254.96909656751023
2086,256.880005,264.32908156751023
2087,252.229996,257.2490955675102
2088,258.779999,260.71909656751023
2089,259.589996,258.77909456751024
2090,276.589996,265.41910856751025
2091,271.779999,282.1190905675102
2092,263.910004,269.00910556751023
2093,260.0,267.10911156751024
2094,260.950012,260.39908956751026
2095,294.140015,263.58909156751025
2096,288.5,300.7690845675102
2097,314.859985,316.93909756751026
2098,330.899994,307.96909656751023
2099,334.850006,337.18909756751026
2100,329.899994,328.10911156751024
2101,337.320007,332.25910556751023
2102,344.279999,337.97910656751026
2103,346.410004,343.4590865675102
2104,341.399994,340.21909656751023
2105,341.059998,338.7891035675102
2106,348.160004,343.0590925675102
2107,351.399994,348.21909656751023
2108,350.51001,348.71909656751023
2109,331.279999,348.08909156751025
2110,338.730011,332.87910056751025
2111,344.0,342.41910856751025
2112,348.440002,342.04908356751025
2113,354.309998,344.9090985675102
2114,353.470001,356.0590925675102
2115,347.48999,341.46909656751023
2116,338.190002,351.71909656751023
2117,325.829987,334.06910256751024
2118,346.0,324.71909656751023
2119,343.920013,339.7690845675102
2120,347.869995,345.7090865675102
2121,341.170013,346.71909656751023
2122,350.480011,341.54908356751025
2123,358.48999,359.71909656751023
2124,359.700012,355.7690845675102
2125,363.059998,355.72910656751026
2126,357.970001,368.71909656751023
2127,365.149994,359.71909656751023
2128,366.76001,369.62910056751025
2129,366.600006,369.1391095675102
2130,376.790009,369.8690905675102
2131,365.709991,374.71909656751023
2132,348.420013,361.71909656751023
2133,337.029999,350.25910556751023
2134,332.970001,337.31910256751024
2135,315.380005,326.7690845675102
2136,319.769989,317.1190905675102
2137,295.390015,313.21909656751023
2138,326.089996,299.71909656751023
2139,316.130005,319.5590925675102
2140,333.869995,322.81910256751024
2141,332.799988,337.50910556751023
2142,310.119995,305.81910256751024
2143,300.359985,306.71909656751023
2144,317.690002,305.71909656751023
2145,334.959991,321.43909756751026
2146,335.350006,341.67908756751024
2147,338.529999,335.21909656751023
2148,344.970001,334.1190905675102
2149,347.26001,341.8090925675102
2150,334.399994,342.0991015675102
2151,344.429993,334.71909656751023
2152,346.049988,344.4990955675102
2153,347.309998,345.92908756751024
2154,302.26001,322.71909656751023
2155,298.920013,304.5391035675102
2156,287.589996,292.21909656751023
2157,291.51001,282.7490955675102
2158,297.040009,294.10911156751024
2159,296.380005,292.62910056751025
2160,297.459991,294.98908556751024
2161,308.769989,300.16910856751025
2162,307.019989,300.71909656751023
2163,312.209991,305.1391095675102
2164,312.890015,312.6991075675102
2165,321.350006,312.2090865675102
2166,317.220001,319.3090925675102
2167,307.51001,313.0190845675102
2168,305.799988,306.54908356751025
2169,312.839996,311.31910256751024
2170,311.809998,315.91910856751025
2171,308.170013,312.06910256751024
2172,303.769989,303.0991015675102
2173,307.880005,304.21909656751023
2174,305.640015,306.27909456751024
2175,302.559998,304.12910056751025
2176,291.230011,301.52909456751024
2177,294.709991,294.2090865675102
2178,298.769989,297.62910056751025
2179,297.859985,291.93909756751026
2180,314.73999,301.4990955675102
2181,319.880005,318.6391095675102
2182,294.790009,306.6590985675102
2183,285.359985,297.83909156751025
2184,276.540009,281.71909656751023
2185,276.23999,276.1991075675102
2186,276.589996,278.5590925675102
2187,284.140015,276.62910056751025
2188,290.920013,283.23908556751024
2189,283.359985,286.2090865675102
2190,288.959991,283.6190905675102
2191,289.959991,292.16910856751025
2192,275.429993,283.22910656751026
2193,269.48999,275.71909656751023
2194,267.470001,267.21909656751023
2195,273.600006,269.4090985675102
2196,274.019989,272.31910256751024
2197,264.529999,272.29908356751025
2198,260.420013,259.42908756751024
2199,267.769989,264.1590985675102
2200,274.829987,268.46909656751023
2201,278.619995,276.87910056751025
2202,279.859985,278.41910856751025
2203,289.179993,282.33909156751025
2204,285.880005,288.0190845675102
2205,291.809998,287.0391035675102
2206,267.779999,261.60911156751024
2207,274.959991,269.57908156751023
2208,273.200012,277.4090985675102
2209,272.309998,271.3690905675102
2210,276.059998,276.4590865675102
2211,268.420013,268.0190845675102
2212,267.700012,269.93909756751026
2213,266.380005,268.3491015675102
2214,273.359985,265.46909656751023
2215,271.230011,274.46909656751023
2216,273.26001,270.9491075675102
2217,262.75,268.71909656751023
2218,263.899994,259.8690905675102
2219,258.660004,263.56910256751024
2220,247.630005,254.71909656751023
2221,235.139999,246.21909656751023
2222,241.470001,235.57909756751025
2223,238.690002,241.77909456751024
2224,234.009995,238.56910256751024
2225,244.100006,245.23910056751023
2226,255.029999,243.57909756751025
2227,255.339996,249.73910056751023
2228,247.059998,256.5190845675102
2229,244.839996,246.65909856751023
2230,241.979996,241.71909656751023
2231,239.520004,239.46909656751023
2232,227.009995,231.72909156751024
2233,232.309998,229.01909956751024
2234,231.949997,229.03910356751024
2235,228.330002,229.20910156751023
2236,211.029999,221.67910356751023
2237,205.360001,202.51909956751024
